"ranking","username","name","profile_image","ENS","twitter_id","followers","verified","address","last_updated"
28,"bhorowitz","benahorowitz.eth","https://pbs.twimg.com/profile_images/1438305416853614593/5t9Peejn_normal.jpg","benahorowitz.eth","16242081",636662,true,"0x4dfda666cce4b0f26c49900ded45f42f705398c7","10/08/2022"
29,"RealJayWilliams","JayWilliams.ETH","https://pbs.twimg.com/profile_images/1478457018855919621/tP8D1iD2_normal.jpg","jaywilliams.eth","77117012",616844,true,"0x3fc07298a14fe9d8d74a17ef4d9b4237f996ee6c","10/08/2022"
30,"shaycarl","shaycarl.eth ⛷","https://pbs.twimg.com/profile_images/1521355146495598592/LTITV82B_normal.jpg","shaycarl.eth","14722311",606594,true,"0x915907a1d787bb3f447ffba80c78a0e507321f1a","10/08/2022"
31,"CryptoKemal","kemal.eth 🥷","https://pbs.twimg.com/profile_images/1566058281805701122/7cNvW27S_normal.jpg","kemal.eth","887419466144940032",584435,false,"0x72d0455d25db9c36af5869bbf426312ba923c643","10/08/2022"
32,"altimet","Altimet.eth","https://pbs.twimg.com/profile_images/1507674969886625794/lXUD-_jy_normal.jpg","altimet.eth","16591905",553418,true,"0xcfeb26e1e5ef9b62dce2801cae037331418eddaa","10/08/2022"
33,"PayasoSinGracia","Paya.eth","https://pbs.twimg.com/profile_images/1510920526235160577/qx2Ok03B_normal.jpg","paya.eth","418205370",549423,false,"0x53ec36b6c93de08c77d993e2198572394b0a18f9","10/08/2022"
34,"crystalhefner","CrystalHefner.eth","https://pbs.twimg.com/profile_images/1575344535320014848/2vYb-p8f_normal.png","crystalhefner.eth","22959589",542430,true,"0xee0a7daa9e10679365dab5ae27ae0b0fb15b6bd1","10/08/2022"
35,"Jihoz_Axie","The Jiho.eth 🦇🔊 #AxieOrigins","https://pbs.twimg.com/profile_images/1565212446335176706/oPPAritb_normal.jpg","jiho.eth","1009692722976788480",538132,true,"0xf61adda6c42d678ced89dd8f1965013322ce96b9","10/08/2022"
36,"kevinvonjames","kevinvonjames.eth","https://pbs.twimg.com/profile_images/1557270430255263744/OjBylknY_normal.jpg","kevinvonjames.eth","474446451",506501,false,"0xa6688a34b3538b3a3b83ca050d0e083f1de0163b","10/08/2022"
37,"TayZonday","TayZonday.eth","https://pbs.twimg.com/profile_images/1442872541295431681/4ZSHVdBD_normal.jpg","tayzonday.eth","5800582",472390,true,"0x3f436100930c49320e4f3406715108c68cd70d7b","10/08/2022"
